"Week","quit smoking","diet","exercise","get fit","get out of debt","get organized","learn guitar","read more","quit drinking","volunteer"
"12/3/2006",40,52,84,46,55,48,48,39,58,67
"12/10/2006",41,49,76,35,40,43,55,31,43,61
"12/17/2006",39,43,65,33,47,51,58,25,42,56
"12/24/2006",45,56,71,49,69,83,93,32,49,51
"12/31/2006",100,89,99,70,68,98,65,25,65,70
"1/7/2007",67,83,98,75,69,71,55,42,51,74
"1/14/2007",59,77,97,65,70,76,49,33,50,70
"1/21/2007",58,72,96,59,78,69,50,31,60,73
"1/28/2007",54,67,95,53,71,64,41,29,55,71
"2/4/2007",51,68,88,49,62,57,41,37,53,70
"2/11/2007",47,63,84,48,64,51,46,31,38,65
"2/18/2007",47,70,91,54,68,50,48,35,58,64
"2/25/2007",49,65,87,56,65,62,43,33,39,67
"3/4/2007",46,71,90,54,60,52,44,36,45,66
"3/11/2007",42,70,87,50,65,42,43,38,60,64
"3/18/2007",39,73,90,47,62,56,44,37,52,63
"3/25/2007",38,74,87,45,66,42,41,44,46,66
"4/1/2007",37,73,82,43,63,43,44,23,55,68
"4/8/2007",41,69,83,52,66,34,43,42,43,70
"4/15/2007",39,70,89,48,59,30,38,30,50,69
"4/22/2007",40,72,89,48,60,44,41,31,50,72
"4/29/2007",41,72,85,52,74,42,40,40,40,66
"5/6/2007",35,66,83,49,53,50,40,33,42,62
"5/13/2007",36,67,83,53,65,39,39,31,57,62
"5/20/2007",35,65,80,47,59,49,44,39,38,62
"5/27/2007",40,62,79,47,65,41,42,32,32,62
"6/3/2007",41,66,83,51,70,47,46,36,48,65
"6/10/2007",37,67,79,49,69,43,46,37,58,63
"6/17/2007",37,71,78,47,65,38,46,36,40,65
"6/24/2007",34,65,76,43,69,44,44,29,54,63
"7/1/2007",37,64,75,54,59,35,49,31,42,58
"7/8/2007",37,67,78,47,63,56,50,42,60,63
"7/15/2007",34,64,81,45,69,53,53,37,43,61
"7/22/2007",35,65,77,46,68,42,47,33,42,61
"7/29/2007",34,62,76,54,58,57,47,33,47,58
"8/5/2007",37,61,76,43,70,50,42,29,54,58
"8/12/2007",35,61,75,42,74,50,49,34,37,62
"8/19/2007",33,60,76,50,56,61,46,38,35,61
"8/26/2007",33,56,74,47,59,43,44,39,43,59
"9/2/2007",35,55,74,52,51,35,44,37,38,59
"9/9/2007",34,57,78,48,54,45,44,38,54,64
"9/16/2007",37,65,79,45,73,42,42,39,44,62
"9/23/2007",36,59,79,49,61,41,41,35,48,61
"9/30/2007",36,60,79,50,64,52,40,39,43,59
"10/7/2007",34,57,77,46,69,45,42,38,34,61
"10/14/2007",36,58,81,41,69,38,39,37,58,61
"10/21/2007",34,56,77,44,60,38,42,39,41,66
"10/28/2007",35,57,79,42,72,43,46,41,45,60
"11/4/2007",37,58,83,44,62,39,45,41,59,63
"11/11/2007",37,54,80,45,64,45,48,44,45,66
"11/18/2007",28,49,74,42,49,33,51,30,43,58
"11/25/2007",36,54,82,42,65,35,56,43,54,62
"12/2/2007",33,49,80,42,56,45,56,45,57,62
"12/9/2007",29,46,73,40,59,44,58,40,43,58
"12/16/2007",28,41,65,42,56,41,59,36,49,52
"12/23/2007",28,50,65,41,79,63,100,31,51,47
"12/30/2007",61,81,94,68,100,100,74,41,76,63
"1/6/2008",49,80,100,70,84,77,60,41,56,66
"1/13/2008",42,72,94,69,89,59,53,41,46,64
"1/20/2008",44,67,94,57,81,53,57,43,49,62
"1/27/2008",39,63,90,55,79,45,48,41,52,63
"2/3/2008",41,64,91,63,70,49,48,46,50,64
"2/10/2008",36,59,86,51,64,48,49,42,34,62
"2/17/2008",37,67,87,58,65,43,50,53,45,60
"2/24/2008",38,63,88,54,74,49,48,45,46,63
"3/2/2008",36,62,85,53,70,42,45,42,45,62
"3/9/2008",39,61,85,57,66,42,45,48,43,60
"3/16/2008",34,59,79,57,79,27,46,46,48,58
"3/23/2008",35,64,83,62,59,31,45,43,39,63
"3/30/2008",36,64,85,59,69,36,44,44,43,65
"4/6/2008",36,63,86,60,59,38,44,48,57,66
"4/13/2008",36,69,85,57,61,36,42,50,39,63
