"Week","quit smoking","diet","exercise","get fit","get out of debt","get organized","learn guitar","read more","quit drinking","volunteer"
"2006-12-03 - 2006-12-09",40,52,84,46,55,48,48,39,58,67
"2006-12-10 - 2006-12-16",41,49,76,35,40,43,55,31,43,61
"2006-12-17 - 2006-12-23",39,43,65,33,47,51,58,25,42,56
"2006-12-24 - 2006-12-30",45,56,71,49,69,83,93,32,49,51
"2006-12-31 - 2007-01-06",100,89,99,70,68,98,65,25,65,70
"2007-01-07 - 2007-01-13",67,83,98,75,69,71,55,42,51,74
"2007-01-14 - 2007-01-20",59,77,97,65,70,76,49,33,50,70
"2007-01-21 - 2007-01-27",58,72,96,59,78,69,50,31,60,73
"2007-01-28 - 2007-02-03",54,67,95,53,71,64,41,29,55,71
"2007-02-04 - 2007-02-10",51,68,88,49,62,57,41,37,53,70
"2007-02-11 - 2007-02-17",47,63,84,48,64,51,46,31,38,65
"2007-02-18 - 2007-02-24",47,70,91,54,68,50,48,35,58,64
"2007-02-25 - 2007-03-03",49,65,87,56,65,62,43,33,39,67
"2007-03-04 - 2007-03-10",46,71,90,54,60,52,44,36,45,66
"2007-03-11 - 2007-03-17",42,70,87,50,65,42,43,38,60,64
"2007-03-18 - 2007-03-24",39,73,90,47,62,56,44,37,52,63
"2007-03-25 - 2007-03-31",38,74,87,45,66,42,41,44,46,66
"2007-04-01 - 2007-04-07",37,73,82,43,63,43,44,23,55,68
"2007-04-08 - 2007-04-14",41,69,83,52,66,34,43,42,43,70
"2007-04-15 - 2007-04-21",39,70,89,48,59,30,38,30,50,69
"2007-04-22 - 2007-04-28",40,72,89,48,60,44,41,31,50,72
"2007-04-29 - 2007-05-05",41,72,85,52,74,42,40,40,40,66
"2007-05-06 - 2007-05-12",35,66,83,49,53,50,40,33,42,62
"2007-05-13 - 2007-05-19",36,67,83,53,65,39,39,31,57,62
"2007-05-20 - 2007-05-26",35,65,80,47,59,49,44,39,38,62
"2007-05-27 - 2007-06-02",40,62,79,47,65,41,42,32,32,62
"2007-06-03 - 2007-06-09",41,66,83,51,70,47,46,36,48,65
"2007-06-10 - 2007-06-16",37,67,79,49,69,43,46,37,58,63
"2007-06-17 - 2007-06-23",37,71,78,47,65,38,46,36,40,65
"2007-06-24 - 2007-06-30",34,65,76,43,69,44,44,29,54,63
"2007-07-01 - 2007-07-07",37,64,75,54,59,35,49,31,42,58
"2007-07-08 - 2007-07-14",37,67,78,47,63,56,50,42,60,63
"2007-07-15 - 2007-07-21",34,64,81,45,69,53,53,37,43,61
"2007-07-22 - 2007-07-28",35,65,77,46,68,42,47,33,42,61
"2007-07-29 - 2007-08-04",34,62,76,54,58,57,47,33,47,58
